YCSB Client 0.1
Command line: -db com.yahoo.ycsb.db.HBaseClient -P /root/ycsb/config/hbase.conf -P /root/ycsb/config/workload-ycsb-thomas -P /root/ycsb/config/workload-ycsb-thomas-continuous -s -target 600 -threads 50 -p eventFile=/root/ycsb/config/hbase/hbase-event-vmhb3-kill.xml -t
 0 sec: 0 operations; 
[UPDATE], 272000, 9469.40625
[UPDATE], 273000, 8191.379032258064
[UPDATE], 274000, 10103.327868852459
[UPDATE], 275000, 18403.050847457627
[UPDATE], 276000, 10360.514018691589
[UPDATE], 277000, 8212.697674418605
[UPDATE], 278000, 9827.9243697479
[UPDATE], 279000, 7870.024390243902
[UPDATE], 280000, 8811.018181818183
[UPDATE], 281000, 8007.119266055046
[UPDATE], 282000, 14290.606837606838
[UPDATE], 283000, 7918.868421052632
[UPDATE], 284000, 8125.94
[UPDATE], 285000, 38499.45517241379
[UPDATE], 286000, 12442.863636363636
[UPDATE], 287000, 9069.201492537313
[UPDATE], 288000, 8487.734513274336
[UPDATE], 289000, 13753.945454545454
[UPDATE], 290000, 8379.3359375
[UPDATE], 291000, 7316.1
[UPDATE], 292000, 7458.459677419355
[UPDATE], 293000, 9845.8
[UPDATE], 294000, 13908.792
[UPDATE], 295000, 10218.911290322581
[UPDATE], 296000, 8138.6984126984125
[UPDATE], 297000, 9780.45925925926
[UPDATE], 298000, 9469.654867256637
[UPDATE], 299000, 43626.5
[UPDATE], 359000, 7284.0
[UPDATE], 360000, 2953.603773584906
[UPDATE], 361000, 3122.214285714286
[UPDATE], 362000, 2914.40625
[UPDATE], 363000, 4021.6666666666665
[UPDATE], 364000, 4041.0
[UPDATE], 365000, 3957.5
[UPDATE], 366000, 4794.0
[UPDATE], 367000, 4043.0
[UPDATE], 368000, 4166.0
[UPDATE], 369000, 4305.0
[UPDATE], 370000, 4000.5
[UPDATE], 371000, 4845.0
[UPDATE], 372000, 4094.25
[UPDATE], 373000, 3826.0
[UPDATE], 374000, 4184.666666666667
[UPDATE], 375000, 4231.0
[UPDATE], 376000, 4037.0
[UPDATE], 377000, 4358.666666666667
