YCSB Client 0.1
Command line: -db com.yahoo.ycsb.db.HBaseClient -P /root/ycsb/config/hbase.conf -P /root/ycsb/config/workload-ycsb-thomas -P /root/ycsb/config/workload-ycsb-thomas-continuous -s -threads 50 -target 600 -p eventFile=/root/ycsb/config/hbase/hbase-event-vmhb3-drop.xml -t
 0 sec: 0 operations; 
[UPDATE], 520000, 8211.359154929578
[UPDATE], 521000, 14127.572580645161
[UPDATE], 522000, 7141.585585585585
[UPDATE], 523000, 6770.423357664234
[UPDATE], 524000, 8334.521739130434
[UPDATE], 525000, 9757.04255319149
[UPDATE], 526000, 18680.365384615383
[UPDATE], 527000, 6795.281553398058
[UPDATE], 528000, 26587.492063492064
[UPDATE], 529000, 8977.704
[UPDATE], 530000, 7446.4488188976375
[UPDATE], 531000, 8577.04
[UPDATE], 532000, 10555.65
[UPDATE], 533000, 14842.23275862069
[UPDATE], 534000, 7328.890625
[UPDATE], 535000, 7421.407079646017
[UPDATE], 536000, 7850.258333333333
[UPDATE], 537000, 10011.021276595744
[UPDATE], 538000, 8016.875
[UPDATE], 539000, 6779.336
[UPDATE], 540000, 9225.431034482759
[UPDATE], 541000, 21127.11111111111
[UPDATE], 542000, 11036.953488372093
[UPDATE], 543000, 8072.276595744681
[UPDATE], 544000, 8529.247787610619
[UPDATE], 545000, 7348.924812030075
[UPDATE], 546000, 8814.470588235294
[UPDATE], 547000, 9003.503937007874
[UPDATE], 548000, 28587.016
[UPDATE], 549000, 10023.952755905511
[UPDATE], 550000, 9936.04132231405
[UPDATE], 551000, 10337.953703703704
[UPDATE], 552000, 9216.12962962963
[UPDATE], 553000, 9804.44696969697
[UPDATE], 554000, 8046.720588235294
[UPDATE], 555000, 8637.11475409836
[UPDATE], 556000, 26119.024193548386
[UPDATE], 557000, 8282.536082474227
[UPDATE], 558000, 21695.092436974788
[UPDATE], 559000, 8252.696721311475
[UPDATE], 560000, 9264.830357142857
[UPDATE], 561000, 8274.425373134329
[UPDATE], 562000, 7535.087301587301
[UPDATE], 563000, 10611.470588235294
[UPDATE], 564000, 8891.825396825398
[UPDATE], 565000, 7690.666666666667
[UPDATE], 566000, 6853.7
[UPDATE], 567000, 8877.205128205129
[UPDATE], 568000, 8335.081967213115
[UPDATE], 569000, 7527.379032258064
[UPDATE], 570000, 7447.924657534247
[UPDATE], 571000, 15795.9921875
[UPDATE], 572000, 8688.917293233082
[UPDATE], 573000, 9190.055118110236
[UPDATE], 574000, 8639.504132231405
[UPDATE], 575000, 8668.060869565217
[UPDATE], 576000, 8913.622807017544
[UPDATE], 577000, 8826.045454545454
[UPDATE], 578000, 12330.84126984127
[UPDATE], 579000, 7788.394736842105
[UPDATE], 580000, 8239.88524590164
[UPDATE], 581000, 18998.81512605042
[UPDATE], 582000, 9840.176470588236
[UPDATE], 583000, 9769.318965517241
[UPDATE], 584000, 9201.141791044776
[UPDATE], 585000, 8735.394957983193
[UPDATE], 586000, 9411.452554744526
[UPDATE], 587000, 10319.645454545454
[UPDATE], 588000, 14037.981308411216
[UPDATE], 589000, 6848.111111111111
[UPDATE], 590000, 7855.056
[UPDATE], 591000, 8465.685039370079
[UPDATE], 592000, 7847.462121212121
[UPDATE], 593000, 9602.036036036036
[UPDATE], 594000, 8321.891666666666
[UPDATE], 595000, 10179.173553719009
[UPDATE], 596000, 17059.398230088496
[UPDATE], 597000, 7246.728070175439
[UPDATE], 598000, 11604.797385620916
[UPDATE], 599000, 10562.107142857143
[UPDATE], 600000, 8899.42857142857
[UPDATE], 601000, 12038.171875
[UPDATE], 602000, 8307.678899082568
[UPDATE], 603000, 19186.070175438595
[UPDATE], 604000, 7584.6984126984125
[UPDATE], 605000, 9873.628571428571
[UPDATE], 606000, 11090.706896551725
[UPDATE], 607000, 7802.824561403509
[UPDATE], 608000, 8540.135135135135
[UPDATE], 609000, 9274.79646017699
[UPDATE], 610000, 7605.360360360361
[UPDATE], 611000, 9232.58064516129
[UPDATE], 612000, 8323.457142857143
[UPDATE], 613000, 7048.95575221239
[UPDATE], 614000, 8215.661157024793
[UPDATE], 615000, 7608.692913385827
[UPDATE], 616000, 8895.321739130435
[UPDATE], 617000, 7691.691666666667
[UPDATE], 618000, 14249.093023255815
[UPDATE], 619000, 7097.395348837209
[UPDATE], 620000, 7234.873873873874
[UPDATE], 621000, 9211.952380952382
[UPDATE], 622000, 16680.35251798561
[UPDATE], 623000, 8842.25
[UPDATE], 624000, 6832.9327731092435
[UPDATE], 625000, 8543.877049180328
[UPDATE], 626000, 6889.390625
[UPDATE], 627000, 8057.946902654868
[UPDATE], 628000, 15334.532110091743
[UPDATE], 629000, 7489.735042735043
[UPDATE], 630000, 9827.91304347826
[UPDATE], 631000, 8882.418181818182
[UPDATE], 632000, 7965.766666666666
[UPDATE], 633000, 9363.951612903225
[UPDATE], 634000, 7178.316239316239
[UPDATE], 635000, 7698.095652173913
[UPDATE], 636000, 9121.248120300752
[UPDATE], 637000, 7154.33962264151
[UPDATE], 638000, 8499.55140186916
[UPDATE], 639000, 6752.975609756098
[UPDATE], 640000, 6196.921739130435
[UPDATE], 641000, 9288.37962962963
[UPDATE], 642000, 6838.663865546218
[UPDATE], 643000, 10839.41304347826
[UPDATE], 644000, 9002.552631578947
[UPDATE], 645000, 10251.121739130434
