,W-0,R-0,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,
282270802121,1,2,1,1,1,1,1,1,1,1,1,
282271802121,1,2,2,2,2,2,2,1,1,1,1,
282273802121,1,2,1,1,1,1,1,1,1,1,1,
282274302121,1,2,1,1,1,1,1,1,1,1,1,
282274802121,1,2,2,1,1,1,1,1,1,1,1,
282275802121,1,2,1,1,1,1,1,1,1,1,1,
282278302121,1,2,1,1,1,1,1,1,1,1,1,
282284302121,1,2,1,1,1,1,1,1,1,1,1,
282284802121,1,2,1,1,1,1,1,1,1,1,1,
282285802121,1,2,1,1,1,1,1,1,1,1,1,
282286302121,1,2,1,1,1,1,1,1,1,1,1,
282289302121,1,2,1,1,1,1,1,1,1,1,1,
282290802121,1,2,1,1,1,1,1,1,1,1,1,
282291302121,1,2,2,2,2,2,2,2,2,2,2,
282291802121,1,2,2,2,2,2,2,2,2,2,2,
282292302121,1,2,2,1,1,1,1,1,1,1,1,
282292802121,1,2,1,1,1,1,1,1,1,1,1,
282293302121,1,2,1,1,1,1,1,1,1,1,1,
282295802121,1,2,1,1,1,1,1,1,1,1,1,
282297802121,1,2,2,2,2,2,2,2,2,2,2,
282298302121,1,2,1,1,1,1,1,1,1,1,1,
282299302121,1,2,1,1,1,1,1,1,1,1,1,
282299802121,1,2,1,1,1,1,1,1,1,1,1,
282300302121,1,2,1,1,1,1,1,1,1,1,1,
282300802121,1,1,1,1,1,1,1,1,1,1,1,
282301302121,1,2,1,1,1,1,1,1,1,1,1,
282302302121,1,2,2,1,1,1,1,1,1,1,1,
282302802121,1,2,1,1,1,1,1,1,1,1,1,
282303302121,1,2,1,1,1,1,1,1,1,1,1,
282304302121,1,2,1,1,1,1,1,1,1,1,1,
282304802121,1,2,1,1,1,1,1,1,1,1,1,
282305302121,1,2,2,2,1,1,1,1,1,1,1,
282307302121,1,2,1,1,1,1,1,1,1,1,1,
282308802121,1,2,1,1,1,1,1,1,1,1,1,
