,W-0,R-0,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,
280484835236,12941,103225,15607,21286,31170,41858,51040,79579,83333,83342,91625,
280486335236,5827,107046,12871,21601,31244,46235,51151,61746,81419,83004,106048,
280486835236,20552,110799,21080,22621,34324,41695,51219,63348,78234,83500,93254,
280488835236,4159,103310,13113,21400,32907,42953,52052,69425,72351,81266,91302,
280489835236,12403,105564,15855,23271,36858,42038,52735,61823,71709,81275,93231,
280490835236,183072,270334,273759,271496,270884,274538,273560,271814,273421,274867,271267,
280491335236,83023,181962,182279,182396,187139,187330,187512,189097,187446,89826,106300,
280492335236,4711,104322,12199,22926,37751,57063,57439,63820,73531,84977,91552,
280493335236,4986,109949,11258,21166,31255,46227,56441,62146,92365,93715,94621,
280493835236,4494,103621,12191,25999,31841,41116,56392,78042,79480,84083,91471,
280494335236,8498,103732,18552,24834,32646,60048,61454,70760,75133,82584,98034,
280496835236,5164,103601,12360,22319,33348,43146,51341,61627,72480,83914,93617,
280500335236,10282,103307,14234,25125,32269,42236,62256,63205,72334,82519,92903,
280500835236,4931,105597,11484,25239,31218,44986,51870,61029,72349,84051,92141,
280501335236,4525,103636,13354,32586,33989,51431,53501,63474,75004,82949,91170,
280502335236,4282,106478,16926,23365,39346,46312,53257,66884,73020,81123,101397,
280503335236,105177,111052,103716,105636,106155,107095,107379,108369,109030,109033,109322,
280503835236,8461,111515,15434,21591,31231,43359,51091,64012,72795,93395,95023,
280504835236,10100,105127,14020,25478,31539,46201,58364,63894,71623,82603,91329,
280505335236,7050,108074,14532,22704,32801,41348,51311,61231,71369,81684,100819,
280505835236,5329,106089,20377,21438,35147,41718,52641,71051,72341,82344,91650,
280506335236,6712,103101,19393,23007,31419,44196,52747,65965,73612,81030,91288,
280508335236,5339,103049,11179,22454,42220,43957,51663,64340,72637,82874,93083,
280508835236,4061,109976,12796,21983,32428,42538,51721,61421,72398,83061,92302,
280510335236,5099,105481,15169,25453,46360,47279,58213,63576,71714,81477,91824,
280511335236,11087,103022,11877,32894,34429,43377,53504,63099,71018,81161,92893,
280516835236,5440,106475,12636,21674,42356,42951,51470,62103,72416,103957,105079,
280518835236,6210,104616,11154,26750,31927,41432,63342,64178,71617,83387,95133,
280520335236,9350,104440,11353,23194,33643,42169,52746,61990,71315,83384,99732,
280522835236,3474,4454,11801,23984,33677,41651,54024,77973,78484,88489,93606,
280525335236,6250,108708,14266,23319,32302,42942,51192,61235,75837,82011,91889,
280525835236,4221,186742,11416,31288,32924,41926,53335,64406,183799,184989,185971,
280526335236,4528,107884,14155,37505,37874,46634,53590,66710,85574,87240,95226,
280526835236,17362,123023,18071,23928,31158,43420,51274,64723,71374,81230,91806,
280528335236,7404,104844,11296,29043,31171,42033,51239,66723,75686,81439,92887,
280528835236,3209,103910,11679,21758,37921,47447,51721,66833,71756,81218,94038,
280529335236,12033,105331,14133,22402,31513,44482,51288,61676,71519,84737,91240,
280530335236,5014,105306,11641,21305,31303,45347,64108,65210,71992,83240,92478,
280530835236,5161,105484,12397,21145,33523,41836,52215,62586,86322,87147,93707,
280531335236,3114,102945,11290,24045,32115,42897,54325,61399,71595,81316,91438,
280531835236,6664,105014,11814,23157,33032,42894,68047,69314,76436,81631,91759,
280532835236,4492,105049,18108,21252,35903,42503,59683,72843,78227,92394,93456,
280533335236,126238,127971,129842,130290,123103,124033,126965,127122,129218,128085,128295,
280533835236,5011,103094,14050,22415,32052,42804,54264,61188,76057,86174,91195,
280534335236,3439,104097,13052,21708,35447,41519,52020,62684,71759,82379,91369,
280534835236,4638,104447,14308,29124,32303,43029,52993,61418,76988,87254,96641,
280535335236,3664,108123,13268,21036,46459,49232,54341,61230,82824,87020,106467,
280536835236,7722,105614,12802,27071,33581,42575,51729,63943,76323,81588,91974,
280537335236,6105,108209,12240,21339,31041,53316,54379,62550,73092,83564,93762,
280539335236,6623,104930,13942,21440,31475,41214,55346,66032,73503,81946,96817,
280539835236,11208,104204,13277,26127,33145,41147,51997,65480,72640,81371,91327,
280541335236,9144,107149,21154,22291,31637,41188,51498,61895,72136,83496,92480,
280542335236,3305,104000,11020,21140,32086,43510,52067,61998,71289,81151,92210,
280544835236,13111,104536,14398,23477,31960,42059,52715,61633,81471,83519,99430,
280545335236,6225,108483,11486,23016,33080,41037,51356,61212,83304,84265,91485,
280546335236,8043,108982,11758,32032,32363,52078,53256,62720,72065,83004,91669,
280547835236,4027,110404,12763,22154,40834,41389,51257,63535,71396,85303,92798,
280548835236,4600,104946,11175,21305,32140,42425,51295,61596,71236,92360,92983,
280550835236,15702,113986,21040,32584,34052,44721,52348,62825,80947,83595,100399,
280551335236,17196,238283,19032,22969,31521,44385,51590,62119,74343,81185,238050,
280551835236,4760,105956,12650,22026,36169,41650,67893,69460,83472,85276,91573,
280552335236,3904,106178,16641,23114,32542,41288,51246,62410,79073,83171,97125,
280552835236,12360,107933,12648,22674,35153,41611,55048,62387,71938,81357,93515,
280553835236,9970,11502,12343,21679,32268,43960,62395,62995,81322,81838,91332,
280554835236,5528,105818,11371,23671,31693,41043,51622,61101,72557,83396,93644,
280555335236,4907,123983,15618,27148,33226,54085,53649,64019,72048,81832,91139,
280556335236,5488,105489,12543,22993,31835,51421,51707,62333,71394,81675,92516,
280557335236,9514,105046,14604,21518,31328,50426,54897,64134,71795,83491,104557,
280558335236,3495,111469,12723,21150,32467,42012,55318,74167,76228,92564,94727,
280558835236,5628,107379,12331,21847,40049,41820,53547,73690,74988,82322,92948,
280560835236,8008,108272,12396,26531,32982,43056,52884,61260,78575,81278,91799,
280561335236,4947,105658,14531,24077,33031,42717,53550,61374,73327,81995,99372,
280561835236,5511,108312,17698,35240,37104,45707,53042,62618,82876,84284,92248,
280562335236,3629,103086,11229,23449,35619,43184,53363,69390,73076,85920,94824,
280563835236,14323,116734,14361,22004,31247,41470,53158,68187,74979,82262,95012,
280564335236,4821,103633,32605,32210,33427,44261,53242,62293,71678,83289,91456,
280566335236,7403,106006,12943,21257,31696,45954,52176,62515,76997,87692,91669,
280566835236,5031,106900,11174,34272,35665,46137,52997,61641,71135,81170,105908,
280568835236,4275,103313,11162,21160,34625,42110,51797,65201,74426,81090,91504,
280569835236,14522,102670,17313,27488,32121,44403,62570,63617,72966,82922,92315,
280570335236,4909,7290,14005,27639,46972,51339,52887,61160,76341,88607,95172,
280570835236,9434,118496,20630,21760,34319,50558,54559,61672,72456,83004,91121,
280571335236,15722,16368,16870,22464,32675,46142,52121,64537,85889,86436,93924,
280571835236,11111,105721,14507,23951,34588,41278,59193,61706,72212,92435,93556,
280573335236,13831,108875,16149,21246,33219,42111,52898,66301,71992,84720,93987,
280574835236,7860,103387,12184,21671,31754,42384,51847,61198,77794,83652,91281,
280575335236,6070,110448,11465,21297,35058,49266,53302,71821,73072,81334,91235,
280576335236,4263,108148,12754,26508,32117,42435,51614,61586,79449,86017,94481,
280577335236,5703,104496,14953,21740,31308,42614,54162,65366,73811,81559,93020,
280577835236,5286,104259,11327,21309,39061,50364,55216,64577,71356,92679,93020,
280579835236,6507,109849,12444,20981,31926,41972,57028,64707,78045,83518,95076,
280580335236,4054,104759,14851,23084,33601,45570,51660,71105,71599,83272,99349,
280580835236,5440,107204,11356,21957,31730,43151,52012,61313,72158,83914,95082,
280581335236,10805,107921,13318,22523,42686,42946,53679,61470,74672,83819,94038,
280582335236,4275,103545,11270,24280,40360,41544,55453,61281,71939,88127,93835,
280583835236,6752,103383,12232,44150,46450,46802,52555,63115,72060,81813,92318,
