,W-0,R-0,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,
282221802121,1,2,1,1,1,1,1,1,1,1,1,
282222302121,1,2,1,1,1,1,1,1,1,1,1,
282223302121,1,2,1,1,1,1,1,1,1,1,1,
282224302121,1,2,2,1,1,1,1,1,1,1,1,
282225302121,1,2,1,1,1,1,1,1,1,1,1,
282225802121,1,2,1,1,1,1,1,1,1,1,1,
282227802121,1,2,2,2,2,1,1,1,1,1,1,
282228302121,1,1,1,1,1,1,1,1,1,1,1,
282228802121,1,2,1,1,1,1,1,1,1,1,1,
282229302121,1,2,1,1,1,1,1,1,1,1,1,
282230802121,1,2,1,1,1,1,1,1,1,1,1,
282231302121,1,2,2,2,2,2,2,2,2,2,2,
282233302121,1,2,1,1,1,1,1,1,1,1,1,
282233802121,1,2,1,1,1,1,1,1,1,1,1,
282235802121,1,2,1,1,1,1,1,1,1,1,1,
282236802121,1,2,2,1,1,1,1,1,1,1,1,
282237302121,1,2,1,1,1,1,1,1,1,1,1,
282237802121,1,2,2,2,2,2,2,2,2,2,2,
282238302121,1,2,1,1,1,1,1,1,1,1,1,
282238802121,1,1,1,1,1,1,1,1,1,1,1,
282240302121,1,2,1,1,1,1,1,1,1,1,1,
282241802121,1,2,2,1,1,1,1,1,1,1,1,
282242302121,1,1,1,1,1,1,1,1,1,1,1,
282243302121,1,2,1,1,1,1,1,1,1,1,1,
282244302121,1,2,2,2,1,1,1,1,1,1,1,
282244802121,1,2,1,1,1,1,1,1,1,1,1,
282246802121,1,2,2,1,1,1,1,1,1,1,1,
282247302121,1,2,2,1,1,1,1,1,1,1,1,
282247802121,1,2,2,1,1,1,1,1,1,1,1,
282248302121,1,2,1,1,1,1,1,1,1,1,1,
282249302121,1,2,1,1,1,1,1,1,1,1,1,
282250802121,1,2,1,1,1,1,1,1,1,1,1,
282251802121,1,2,1,1,1,1,1,1,1,1,1,
282252302121,1,2,1,1,1,1,1,1,1,1,1,
282252802121,1,2,2,2,2,2,2,1,1,1,1,
282253302121,1,2,1,1,1,1,1,1,1,1,1,
282253802121,1,1,1,1,1,1,1,1,1,1,1,
282255302121,1,2,1,1,1,1,1,1,1,1,1,
282256302121,1,2,1,1,1,1,1,1,1,1,1,
282256802121,1,2,2,2,2,2,2,2,2,2,2,
282257802121,1,2,2,2,2,2,2,2,1,1,1,
282258302121,1,2,1,1,1,1,1,1,1,1,1,
282258802121,1,2,1,1,1,1,1,1,1,1,1,
282260302121,1,2,2,2,1,1,1,1,1,1,1,
282260802121,1,2,2,1,1,1,1,1,1,1,1,
282261802121,1,2,2,1,1,1,1,1,1,1,1,
282263302121,1,2,2,2,1,1,1,1,1,1,1,
282264302121,1,2,1,1,1,1,1,1,1,1,1,
282264802121,1,2,2,1,1,1,1,1,1,1,1,
282265302121,1,2,2,2,2,2,2,2,2,2,2,
282266802121,1,2,1,1,1,1,1,1,1,1,1,
282267302121,1,2,2,1,1,1,1,1,1,1,1,
282268802121,1,2,1,1,1,1,1,1,1,1,1,
282269802121,1,2,1,1,1,1,1,1,1,1,1,
282270302121,1,2,2,2,2,2,2,2,2,2,2,
282271302121,1,2,1,1,1,1,1,1,1,1,1,
282272302121,1,2,1,1,1,1,1,1,1,1,1,
282272802121,1,2,2,2,1,1,1,1,1,1,1,
282273302121,1,2,1,1,1,1,1,1,1,1,1,
282275302121,1,2,1,1,1,1,1,1,1,1,1,
282276302121,1,2,1,1,1,1,1,1,1,1,1,
282276802121,1,2,2,1,1,1,1,1,1,1,1,
282277302121,1,2,1,1,1,1,1,1,1,1,1,
282277802121,1,2,2,1,1,1,1,1,1,1,1,
282278802121,1,2,2,1,1,1,1,1,1,1,1,
282279302121,1,2,1,1,1,1,1,1,1,1,1,
282279802121,1,2,1,1,1,1,1,1,1,1,1,
282280302121,1,1,1,1,1,1,1,1,1,1,1,
282280802121,1,2,2,2,2,2,2,2,2,2,2,
282281302121,1,2,1,1,1,1,1,1,1,1,1,
282281802121,1,2,1,1,1,1,1,1,1,1,1,
282282302121,1,2,1,1,1,1,1,1,1,1,1,
282282802121,1,2,2,2,2,2,2,2,2,2,2,
282283302121,1,2,1,1,1,1,1,1,1,1,1,
282283802121,1,2,1,1,1,1,1,1,1,1,1,
